place,NOC,name
Adavere,EST,Välirada Põltsam
Akan,JPN,Yatsugatake Skating Center
Albertville,FRA,Stade de Patinage Olympique
Alkmaar,NED,IJsstadion De Meent
Alta,NOR,Bossekop
Ammerstol,NED,Vooruitgang Ammerstol
Amsterdam,NED,Jaap Edenbaan
Amsterdam,NED,Museumplein
Amsterdam,NED,Olympisch Stadion
Anchorage,USA,Midtown Parking Skating Oval
Arboga,SWE,Ekbackens
Arkhangelsk,RUS,Stadion Trud
Arendal,NOR,Bjønne
Arendal,NOR,Myra Kunstisbane
Arkhangelsk,URS,Dinamo Stadion
Arsenjev,RUS,
�s,NOR,�s Stadion
Asama,JPN,Asama Onsen International Skating Rink Matsumoto
Asker,NOR,Risenga
Askersund,SWE,Solberga IP
Assen,NED,Bosbad De Wilg
Assen,NED,De Smelt
Barnaul,URS,Stadion 'Klevtsjenja' (Tekstilstsjik)
Baselga di Pin�,ITA,Stadio del Ghiaccio Ice Rink Pinè Sr
Båsta,NOR,Båstad Kunstis Trøgst
Beijing,CHN,Municipal Ice Rink
Bergen,NED,IJsbaan Oudtburghweg
Bergen,NOR,Møhlenpri
Bergen,NOR,Slåtthaug Kunstisban
Berlin,GER,Halensee
Berlin,GER,Sportforum Hohenschönhause
Berlin,GER,West-Eisbahn
Berlin,GER,Wilmersdorf
Birobidzhan,RUS,Stadion Dalselmasj
Bjugn,NOR,Fosenhallen
Budapest,HUN,Városligeti Müjégp�
Bräck,SWE,Tallhaga
Brandbu,NOR,Berstjernet
Brandbu,NOR,Rosendalbanen
Breda,NED,Kunstijsbaan Breda
Broekerhaven,NED,unknown
Butte,USA,US High Mountain Altitude Sports Center
Calgary,CAN,Olympic Oval
Khabarovsk,RUS,Stadion Junost
Chamonix,FRA,Stade de Mont Blanc
Changchun,CHN,Jilin Provincial Speed Skating Rink
Chemnitz,GER,Küchwal
Chichibu,JPN,Sports-no-Mori
Chino,JPN,Sportspark International Chino Chikuma
Chuncheon,KOR,Chuncheon Uiam
Chuncheon,KOR,Uiam outdoor
Collalbo,ITA,Arena Ritten
Cortina d'Ampezzo,ITA,Pista Fiames
Crimmitschau,GER,Kunsteisstadion im Sahnpark
Daqing,CHN,Daqing Skating Hall
Davos,SUI,Eisstadion
Dawson Creek,CAN,South Peace Speed Skating Oval
The Hague,NED,De Uithof
Deventer,NED,De Scheg
Deventer,NED,IJsselstadion
Deventer,NED,Schaatsbaan van D.Y.C.
Divnogorsk,RUS,Spoetnik Stadion
Dølem,NOR,Dølemo I
Drammen,NOR,Gamle Marienlyst
Drammen,NOR,Marienlyst Stadion
Dresden,GER,Ostragehege
Dronten,NED,Leisure World
Edmonton,CAN,Victoria Park Oval
Eindhoven,NED,Kunstijsbaan Eindhoven
Elblą,POL,Icerink
Elverum,NOR,Fylkesidrettsplassen
Ena,JPN,Gifu Skate Rink
Engelberg,SUI,Eisbahn
Enschede,NED,IJsbaan Twente
Erfurt,GER,Gunda Niemann-Stirnemann Stadion
Eskilstuna,SWE,Isstadion
Eskilstuna,SWE,Tunavallen
Falun,SWE,Kopparvallen
Fort Saint John,CAN,Pomeroy Sport Centre
Frankfurt,GER,Eissportbahn
Frös�,SWE,Lövsta Idrottsplat
Fujikyu,JPN,Fujikyu Highland Skate Center
Fushun,CHN,Stadion Fushun
Gallio,ITA,unknown
Gangneung,KOR,Gangneung Oval
Garmisch-Partenkirchen,GER,Rießerse
Geithus,NOR,Furumo Stadion
Geleen,NED,Glanerbrook
Gjøvi,NOR,Gjøvik Stadio
Gol,NOR,Glitre Stadion
Gorkij,URS,Dinamo Stadion
Gorredijk,NED,IJsbaan Hâld Moe
Götebor,SWE,Nya Ullevi
Götebor,SWE,Ruddalens Idrottsplats
Grefrath,GER,Eissportzentrum
Grenoble,FRA,"Parc Paul Mistral, Anneau de Vitesse"
Groningen,NED,IJsstadion Stadspark
Groningen,NED,Kardinge
Groningen,NED,Natuurijsbaan Stadspark
Grouw,NED,unknown
Haarlem,NED,Kennemerland
Hachinohe,JPN,Yato City Piping Speed Rink
Hachinohe,JPN,YS Arena Hachinohe
Hagaströ,SWE,Idrottsplatsen Hagaströ
Hailar,CHN,The Ice Sports Training Center Hulun Buir
Halifax,CAN,Canada Games Oval
Hamar,NOR,Hamar Stadion
Hamar,NOR,Mjøse
Hamar,NOR,Olympia Hall
Hamburg,GER,Eispark Borgfelde
Hamburg,GER,Heiligengeistfeld
Hämeenlinn,FIN,Keskuskentt�
Harbin,CHN,Heilongjiang Indoor Rink
Harstad,NOR,�smyra Stadion
Harstad,NOR,Harstad Stadion
Heerenveen,NED,Munnikspetten
Heerenveen,NED,Thialf
Heiloo,NED,unknown
Helsinki,FIN,
Helsinki,FIN,Jyry
Helsinki,FIN,Kaisaniimenlahti
Helsinki,FIN,Kallion Tekojäära
Helsinki,FIN,Olympiastadion
Helsinki,FIN,Oulunkyl�
Helsinki,FIN,Pirkkola
Helsinki,FIN,Pohjoissatama
Helsinki,FIN,Töölön Palloken
Helsinki,FIN,Töölönla
Hol,NOR,Hol Idrettsplass
Holmestrand,NOR,Hvitstein Stadion
Hoorn,NED,De Westfries
Horten,NOR,Lystlunden Gressbane
Hønefos,NOR,Hønefoss - Idrettspar
Hundorp,NOR,Flatmoen Idrettspark
Ikaho,JPN,Machiyama Highland Skating Center
Imatra,FIN,Imatrankoski
Innsbruck,AUT,Olympia Eisstadion
Inzell,GER,Ludwig Schwabl Stadion
Inzell,GER,Max Aicher Arena
Irkutsk,URS,Dynamo Stadion
Irkutsk,RUS,Stadion Trud
Ivanovo,URS,Stadion Tekstilstsjik
Yekaterinburg,RUS,Sportkombinat Yunosti
Jeonju,KOR,Jeonju Ice Rink
Jevnaker,NOR,Jevnaker Stadion
Joensuu,FIN,Mehtimäell
Jyväskyl,FIN,Viitaniemen Tekojäära
Kansk,RUS,
Karlstad,SWE,Tingvalla Isstadion
Karuizawa,JPN,Skating Center
Kazan,RUS,Kazanj-Raketa
Kemerovo,RUS,Junior Sports School No.3
Keystone,USA,Speed & Figure Skating Centre
Kiev,UKR,Ledovi Stadium
Kirov,URS,Dinamo
Kiruna,SWE,Matojärvi I
Kitami,JPN,City Skate Rink
Klagenfurt-Viktring,AUT,Wörtherse
Kokkola,FIN,Kokkolan keskuskentt�
Kolomna,RUS,Speed Skating Center Kolomna
Kolosovka,RUS,Stadion Kolos
Kongsberg,NOR,Idrætsplasse
Kongsvinger,NOR,Holt Stadion
Kōriyam,JPN,Fukushima District Rink
Kostanaj,KAZ,Stadion Kostanaj
Koumi,JPN,Matsubara Lake Plateau Skating Center
Krasnoyarsk,RUS,Stadion Krasnojarsk
